Calm,Japan,Male,Person,,,"['Unknown']"
Andrew Bird,USA,Male,Person,1973-07-11,,"['Unknown']"
The Sweet Vandals,Spain,,Group,2005,,"['Unknown']"
DJ Green Lantern,Unknown,,Person,1975,,"['Unknown']"
Derrick Harriott,Jamaica,Male,Person,1939-02-06,,"['Unknown']"
Red House Painters,USA,,Group,1989,2001,"['Rock','Pop','Folk','Classic']"
Shadow of the Beat,Unknown,,,,,"['Unknown']"
Optiganally Yours,USA,,Group,1996,,"['Unknown']"
The Whitlams,Australia,,Group,1992,,"['Rock','Indie']"
Dallas Green,Canada,Male,Person,1980-09-29,,"['Unknown']"
DJ Premier,USA,Male,Person,1966-03-21,,"['Hip hop']"
A Perfect Circle,USA,,Group,1999,,"['Rock','Progressive']"
Ehma,Unknown,,Person,1969-06-07,,"['Unknown']"
Sally Shapiro,Sweden,Female,Person,,,"['Unknown']"
Heaven 17,United Kingdom,,Group,1980,,"['Classic','Electro','Rock','Synth','Pop']"
AKIR,USA,Male,Person,,,"['Unknown']"
The Source,United Kingdom,Male,Person,,,"['Unknown']"
Limbonic Art,Norway,,Group,1993,,"['Unknown']"
Caamora,Unknown,,Group,2005,,"['Rock','Progressive']"
Автоматические удовлетворители,Unknown,,Group,1979,1998,"['Unknown']"
Erick Friedman,USA,Male,Person,1939-08-14,2004-03-30,"['Unknown']"
Cristina Donà,Italy,Female,Person,1967-09-23,,"['Unknown']"
Irwin Goodman,Finland,Male,Person,1943-09-14,1991-01-14,"['Unknown']"
Carnal Diafragma,Czech Republic,,Group,1997,,"['Unknown']"
Kammerflimmer Kollektief,Germany,,Group,1999,,"['Experimental','Blues','Jazz']"
Malcom Kipe,Unknown,,Person,,,"['Unknown']"
My Life With the Thrill Kill Kult,USA,,Group,1987,,"['Unknown']"
Robert Lippok,Germany,Male,Person,1966,,"['Unknown']"
Nicola Hitchcock,United Kingdom,Female,Person,,,"['Unknown']"
Cabas,Unknown,Male,Person,1977-10-07,,"['Unknown']"
Badly Drawn Boy,Unknown,Male,Person,1969-10-02,,"['Rock','Indie']"
Prince,USA,Male,Person,1958-06-07,,"['Rock','Synth','Punk','Funk','Pop','Contemporary']"
John Carpenter,Unknown,Male,Person,1948-01-06,,"['Unknown']"
Metal Pocket,Unknown,,,,,"['Unknown']"
Ty Segall,USA,Male,Person,1987-06-08,,"['Unknown']"
Vennaskond,Estonia,,Group,1984,,"['Punk']"
Epure,Turkey,,Group,,,"['Metal']"
Roky Erickson,USA,Male,Person,1947-07-15,,"['Unknown']"
Moly,Unknown,,,,,"['Unknown']"
MC5,USA,,Group,1964,1972,"['Rock','Indie','Punk','Garage']"
Dave Matthews Band,USA,,Group,1991,,"['Rock','Alternative','Jam']"
Indochine,France,,Group,1981,,"['Rock']"
Visceral Bleeding,Sweden,,Group,1999,,"['Metal']"
鈴村健一,Japan,Male,Person,,,"['Unknown']"
Cepia,Unknown,Male,Person,,,"['Unknown']"
A Change of Pace,USA,,Group,2001,,"['Unknown']"
Vypsaná fiXa,Czech Republic,,Group,1994,,"['Rock','Pop','Punk']"
The Sugarman 3,USA,,Group,1996,,"['Unknown']"
Natty King,Unknown,,,,,"['Soul','Reggae']"
DJ Fresh,South Africa,Male,Person,,,"['Rock','Indie']"
Marissa Nadler,USA,Female,Person,1981-04-05,,"['Folk']"
Donna Regina,Germany,,Group,,,"['Unknown']"
Carmen Gray,Finland,,Group,2005-05,,"['Unknown']"
Bunnygrunt,USA,,Group,,,"['Unknown']"
Joe Jackson,United Kingdom,Male,Person,1954-08-11,,"['Rock','Pop','Classic']"
Criss Angel,Unknown,Male,Person,1967-12-19,,"['Unknown']"
blink‐182,USA,,Group,1992,,"['Classic','Rock','Alternative','Punk','Pop']"
Gothminister,Norway,,Group,1999,,"['Unknown']"
Carl Perkins,USA,Male,Person,1932-04-09,1998-01-19,"['Rock','Country']"
MANNA,Japan,Female,Person,,,"['Unknown']"
Manfred Mann,United Kingdom,,Group,1962,1969,"['Classic','Rock','Rnb','Pop','Beat']"
Maria Taylor,USA,Female,Person,1976-05-21,,"['Unknown']"
Karen Dalton,USA,Female,Person,1937-07-19,1993-03-19,"['Unknown']"
John Brown's Body,USA,,Group,,,"['Reggae']"
Paul van Dyk,Germany,Male,Person,1971-12-16,,"['Trance','Uplifting','Electro']"
